YEAR,TEAM ID,TEAM,CONF,SEED,ROUND,W,L,win_pct,GAMES,KADJ EM,KADJ O,KADJ D,BARTHAG,BADJ EM,3PT%,3PTR,3PT%D,3PTRD,EFG%,EFG%D,2PT%,2PT%D,2PTR,2PTRD,KADJ T,K TEMPO,PPPO,FT%,FTR,TALENT,EXP,WAB,ELITE SOS,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,DUNKS FG%,DUNKS SHARE,tournament_round,made_tournament,reached_s16,has_shot_splits,three_rate_category,three_pct_category,three_pct_net,three_rate_net,three_value,3PA,3PM,2PA,2PM
2026,2,Akron,MAC,12,0,27,5,84.375,32,12.7986,118.82,106.022,0.773,11.828,38.5,45.1,35.1,43.2,58.5,50.6,59.1,49.0,54.9,56.8,70.2733,71.223,1.219,75.3,29.1,12.8,2.447,-0.2,11.162,38.5,45.1,35.1,43.2,65.0,39.2,44.3,15.7,93.1,7.9,0,0,0,1,High (Q4),High (Q4),3.3999999999999986,1.8999999999999986,52.0905,902,347,1098,649
2026,3,Alabama,SEC,4,0,23,9,71.875,32,25.7196,129.004,103.284,0.934,26.711,35.8,53.7,33.5,35.1,55.4,49.2,57.3,48.6,46.3,64.9,73.087,74.6151,1.22,76.5,37.2,73.555,1.526,6.5,40.729,35.8,53.7,33.5,35.1,61.4,34.8,44.9,11.5,85.9,10.1,0,0,0,1,High (Q4),Mid-High (Q3),2.299999999999997,18.6,57.6738,1123,402,969,555
2026,8,Arizona,B12,1,0,32,2,94.11764706,34,37.6556,127.676,90.0201,0.978,35.534,36.0,26.8,31.4,37.2,55.1,45.0,55.4,43.8,73.2,62.8,69.7911,71.3814,1.203,73.4,42.9,73.506,1.406,13.7,38.751,36.0,26.8,31.4,37.2,64.1,41.9,43.8,31.3,93.4,9.0,0,0,0,1,Low (Q1),Mid-High (Q3),4.600000000000001,-10.400000000000002,28.944000000000003,552,199,1509,836
2026,10,Arkansas,SEC,4,0,26,8,76.47058824,34,26.0527,127.658,101.605,0.934,26.273,38.9,33.4,31.7,38.2,56.5,51.4,55.6,53.7,66.6,61.8,70.9979,72.4168,1.225,74.7,36.4,80.525,1.457,7.5,38.371,38.9,33.4,31.7,38.2,67.1,42.8,34.8,23.8,92.0,15.4,0,0,0,1,Mid-Low (Q2),High (Q4),7.199999999999999,-4.800000000000004,38.977799999999995,719,280,1432,796
2026,25,BYU,B12,6,0,23,11,67.64705882,34,23.2459,125.46,102.214,0.887,20.42,34.9,39.8,35.3,39.2,54.7,51.2,56.2,50.0,60.2,60.8,69.9244,70.4428,1.187,74.6,34.2,48.949,1.463,4.5,38.234,34.9,39.8,35.3,39.2,66.9,33.2,43.0,27.0,84.2,10.4,0,0,0,1,High (Q4),Mid-Low (Q2),-0.3999999999999986,0.5999999999999943,41.67059999999999,839,293,1268,713
2026,253,Cal Baptist,WAC,13,0,25,8,75.75757576,33,5.99314,107.926,101.933,0.689,7.173,33.7,32.1,29.7,31.7,48.6,46.4,47.7,47.3,67.9,68.3,65.8019,67.4426,1.071,71.9,36.1,1.476,2.169,-2.3,12.593,33.7,32.1,29.7,31.7,51.1,47.0,40.0,20.8,80.7,8.6,0,0,0,1,Mid-Low (Q2),Low (Q1),4.0000000000000036,0.40000000000000213,32.453100000000006,621,209,1314,627
2026,33,Clemson,ACC,8,0,24,10,70.58823529,34,19.2364,116.522,97.2852,0.892,19.586,34.1,42.9,32.6,42.9,52.6,48.9,53.8,49.0,57.1,57.1,64.21,65.4573,1.124,72.6,37.1,43.89,2.344,3.2,31.538,34.1,42.9,32.6,42.9,58.9,36.9,44.4,20.2,87.6,8.9,0,0,0,1,High (Q4),Mid-Low (Q2),1.5,0.0,43.886700000000005,812,277,1081,582
2026,40,Connecticut,BE,2,0,29,5,85.29411765,34,27.8694,121.986,94.1163,0.952,28.125,35.2,40.3,30.3,36.2,55.3,45.7,57.1,45.8,59.7,63.8,64.4462,66.0567,1.165,71.6,30.0,84.266,1.997,8.8,33.294,35.2,40.3,30.3,36.2,64.2,39.3,43.2,20.4,93.0,9.7,0,0,0,1,High (Q4),Mid-Low (Q2),4.900000000000002,4.099999999999994,42.5568,798,281,1183,675
2026,50,Duke,ACC,1,0,32,2,94.11764706,34,38.8998,127.956,89.0562,0.981,37.324,35.1,44.4,30.4,45.7,56.8,46.2,60.1,46.6,55.6,54.3,65.3455,67.0971,1.226,72.4,37.8,91.161,0.856,13.7,38.433,35.1,44.4,30.4,45.7,64.8,44.8,40.5,10.8,91.5,14.9,0,0,0,1,High (Q4),Mid-Low (Q2),4.700000000000003,-1.3000000000000043,46.75320000000001,881,309,1103,663
2026,55,Florida,SEC,1,0,26,7,78.78787879,33,33.7928,125.535,91.7424,0.973,33.838,30.8,37.1,32.4,33.7,53.5,46.3,57.9,45.2,62.9,66.3,70.5421,72.4625,1.198,71.0,39.1,41.689,1.928,8.5,39.255,30.8,37.1,32.4,33.7,63.8,45.6,42.1,17.2,92.2,15.3,0,0,0,1,Mid-High (Q3),Low (Q1),-1.5999999999999979,3.3999999999999986,34.2804,789,243,1337,774
