teamstatspk,team,win_percentage,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,playoff_stage,three_point_volume,three_point_contribution,season_year,three_pt_tier
0,Milwaukee Bucks,0.696,48.4,110.3,42.1,91.1,0.462,11.2,35.0,0.321,14.9,20.8,0.718,2020-21,Champion,0.38419319429198684,0.3046237533998186,2020,Low
1,Phoenix Suns,0.636,48.0,109.0,40.9,85.0,0.48100000000000004,11.2,29.7,0.376,16.0,18.6,0.861,2020-21,Finals,0.34941176470588237,0.3082568807339449,2020,High
2,Brooklyn Nets,0.583,48.4,112.5,40.7,86.2,0.47200000000000003,13.6,35.6,0.382,17.6,20.3,0.868,2020-21,Conf Semis,0.41299303944315546,0.36266666666666664,2020,High
3,Philadelphia 76ers,0.583,48.0,116.3,42.5,85.8,0.496,11.2,28.4,0.39299999999999996,20.1,29.3,0.685,2020-21,Conf Semis,0.331002331002331,0.28890799656061905,2020,High
4,Atlanta Hawks,0.556,48.0,106.3,38.9,86.8,0.449,11.7,34.2,0.34299999999999997,16.7,20.9,0.7979999999999999,2020-21,Conf Finals,0.3940092165898618,0.33019755409219187,2020,Medium
5,Utah Jazz,0.545,48.0,116.9,39.7,84.2,0.47200000000000003,18.0,43.6,0.413,19.5,24.3,0.8009999999999999,2020-21,Conf Semis,0.517814726840855,0.4619332763045338,2020,High
6,LA Clippers,0.526,48.0,111.6,39.1,81.9,0.47700000000000004,13.8,36.4,0.381,19.5,23.7,0.823,2020-21,Conf Finals,0.4444444444444444,0.37096774193548393,2020,High
7,Dallas Mavericks,0.429,48.0,106.0,39.1,86.0,0.455,13.6,35.0,0.38799999999999996,14.1,20.0,0.7070000000000001,2020-21,R1 Exit,0.4069767441860465,0.38490566037735846,2020,High
8,Denver Nuggets,0.4,49.0,114.8,42.1,92.2,0.457,14.7,38.5,0.382,15.9,20.9,0.7609999999999999,2020-21,Conf Semis,0.41757049891540127,0.3841463414634146,2020,High
9,Los Angeles Lakers,0.333,48.0,97.5,34.3,83.0,0.414,9.8,32.8,0.299,19.0,24.5,0.7759999999999999,2020-21,R1 Exit,0.39518072289156625,0.30153846153846153,2020,Low
