teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
0,Boston Celtics,0.78,3966,9887,3601,7396,48.7,1351,3482,38.8,1334,1654,80.7,2023-24,0.4707950243374797,0.409932234246991
1,Denver Nuggets,0.695,3941,9418,3610,7279,49.6,958,2560,37.4,1240,1628,76.2,2023-24,0.3516966616293447,0.30516033128052666
2,Oklahoma City Thunder,0.695,3961,9847,3653,7324,49.9,1090,2805,38.9,1451,1759,82.5,2023-24,0.3829874385581649,0.33208083680308725
3,Minnesota Timberwolves,0.683,3961,9264,3383,6974,48.5,1037,2681,38.7,1461,1881,77.7,2023-24,0.3844278749641526,0.33581606217616583
4,LA Clippers,0.622,3941,9481,3473,7108,48.9,1036,2719,38.1,1499,1817,82.5,2023-24,0.3825267304445695,0.3278135217804029
5,Dallas Mavericks,0.61,3941,9664,3535,7352,48.1,1197,3242,36.9,1397,1842,75.8,2023-24,0.44096844396082696,0.37158526490066224
6,New York Knicks,0.61,3946,9249,3385,7272,46.5,1083,2936,36.9,1396,1789,78.0,2023-24,0.40374037403740376,0.35128121959130715
7,Milwaukee Bucks,0.598,3961,9756,3538,7258,48.7,1163,3122,37.3,1517,1960,77.4,2023-24,0.4301460457426288,0.3576260762607626
8,New Orleans Pelicans,0.598,3941,9436,3484,7165,48.6,1023,2673,38.3,1445,1873,77.1,2023-24,0.37306350314026515,0.32524374735057227
9,Phoenix Suns,0.598,3956,9532,3482,7063,49.3,1020,2671,38.2,1548,1915,80.8,2023-24,0.3781679173155883,0.3210239194292908
10,Cleveland Cavaliers,0.585,3961,9236,3425,7148,47.9,1108,3016,36.7,1278,1671,76.5,2023-24,0.42193620593172915,0.3598960588999567
11,Indiana Pacers,0.573,3941,10110,3855,7599,50.7,1082,2891,37.4,1318,1685,78.2,2023-24,0.38044479536781156,0.32106824925816024
12,Los Angeles Lakers,0.573,3971,9679,3580,7177,49.9,969,2572,37.7,1550,1983,78.2,2023-24,0.3583670057126933,0.30034094431242897
13,Orlando Magic,0.573,3956,9058,3318,6964,47.6,903,2568,35.2,1519,2002,75.9,2023-24,0.3687535898908673,0.2990726429675425
14,Philadelphia 76ers,0.573,3956,9397,3404,7331,46.4,992,2733,36.3,1597,1934,82.6,2023-24,0.37280043650252354,0.31669681813344686
15,Golden State Warriors,0.561,3966,9657,3582,7515,47.7,1211,3191,38.0,1282,1644,78.0,2023-24,0.42461743180306055,0.37620378999689347
16,Miami Heat,0.561,3951,9032,3266,7022,46.5,1022,2765,37.0,1478,1806,81.8,2023-24,0.39376246083736827,0.33945969884853855
17,Sacramento Kings,0.561,3971,9558,3553,7455,47.7,1178,3219,36.6,1274,1710,74.5,2023-24,0.4317907444668008,0.3697426239799121
18,Houston Rockets,0.5,3971,9375,3425,7459,45.9,1043,2964,35.2,1482,1916,77.3,2023-24,0.39737230191714706,0.33376
19,Chicago Bulls,0.476,3996,9206,3448,7339,47.0,941,2630,35.8,1369,1731,79.1,2023-24,0.35835944951628285,0.30664783836628284
20,Atlanta Hawks,0.439,3971,9703,3529,7584,46.5,1125,3092,36.4,1520,1906,79.7,2023-24,0.40770042194092826,0.34783056786560856
21,Brooklyn Nets,0.39,3961,9050,3334,7307,45.6,1089,3010,36.2,1293,1711,75.6,2023-24,0.4119337621458875,0.36099447513812155
22,Utah Jazz,0.378,3961,9484,3443,7371,46.7,1060,2993,35.4,1538,1853,83.0,2023-24,0.4060507393840727,0.3353015605229861
23,Memphis Grizzlies,0.329,3956,8677,3145,7229,43.5,1071,3097,34.6,1316,1722,76.4,2023-24,0.42841333517775626,0.3702892704851907
24,Toronto Raptors,0.305,3961,9213,3466,7356,47.1,942,2712,34.7,1339,1772,75.6,2023-24,0.36867862969004894,0.3067404754151742
25,San Antonio Spurs,0.268,3966,9192,3438,7436,46.2,1036,2983,34.7,1280,1637,78.2,2023-24,0.4011565357719204,0.3381201044386423
26,Charlotte Hornets,0.256,3946,8740,3281,7133,46.0,989,2788,35.5,1189,1512,78.6,2023-24,0.3908593859526146,0.3394736842105263
27,Portland Trail Blazers,0.256,3976,8722,3227,7356,43.9,939,2723,34.5,1329,1680,79.1,2023-24,0.3701740076128331,0.3229763815638615
28,Washington Wizards,0.183,3946,9327,3523,7493,47.0,1015,2915,34.8,1266,1657,76.4,2023-24,0.3890297611103697,0.3264715342553876
29,Detroit Pistons,0.171,3951,9010,3353,7236,46.3,906,2602,34.8,1398,1780,78.5,2023-24,0.35959093421779986,0.3016648168701443
